Location	Name	ID	Count	Slots
Any Slot	Polished Mithril Torque +4	4501	1	10
Any Slot-Slot7	Empty	0	0	0
Any Slot-Slot8	Empty	0	0	0
Any Slot-Slot9	Empty	0	0	0
Any Slot-Slot10	Empty	0	0	0
Ear	Mithril Earring +5	10041	1	10
Ear-Slot7	Empty	0	0	0
Ear-Slot8	Empty	0	0	0
Ear-Slot9	Empty	0	0	0
Ear-Slot10	Empty	0	0	0
Head	Loam Encrusted Cap +2	1641	1	10
Head-Slot2	Empty	0	0	0
Head-Slot7	Empty	0	0	0
Head-Slot8	Empty	0	0	0
Face	Polished Mithril Mask +4	4505	1	10
Face-Slot7	Polished Mithril Mask (Exaltation)	4505	1	10
Face-Slot8	Empty	0	0	0
Face-Slot9	Empty	0	0	0
Face-Slot10	Empty	0	0	0
Ear	Brass Earring +6	10351	1	10
Ear-Slot7	Empty	0	0	0
Ear-Slot8	Empty	0	0	0
Ear-Slot9	Empty	0	0	0
Ear-Slot10	Empty	0	0	0
Neck	Talisman of Kejaar Kerrath +10	177931	1	10
Neck-Slot1	Empty	0	0	0
Neck-Slot7	Empty	0	0	0
Neck-Slot8	Empty	0	0	0
Neck-Slot9	Empty	0	0	0
Neck-Slot10	Empty	0	0	0
Shoulders	Loam Encrusted Amice +1	1645	1	10
Shoulders-Slot7	Empty	0	0	0
Arms	Loam Encrusted Sleeves +4	1648	1	10
Arms-Slot2	Empty	0	0	0
Arms-Slot7	Empty	0	0	0
Arms-Slot8	Empty	0	0	0
Arms-Slot9	Empty	0	0	0
Arms-Slot10	Empty	0	0	0
Back	Cloak of Flames	11621	1	10
Wrist	Umbral Platemail Bracer +5	4844	1	10
Wrist-Slot2	Empty	0	0	0
Wrist-Slot7	Empty	0	0	0
Wrist-Slot8	Empty	0	0	0
Wrist-Slot9	Empty	0	0	0
Wrist-Slot10	Empty	0	0	0
Wrist	Verishe Bracer of Dominance +6	177919	1	10
Wrist-Slot1	Empty	0	0	0
Wrist-Slot7	Empty	0	0	0
Wrist-Slot8	Empty	0	0	0
Wrist-Slot9	Empty	0	0	0
Wrist-Slot10	Empty	0	0	0
Range	Bow of the Underfoot +2	8408	1	10
Range-Slot2	Empty	0	0	0
Range-Slot7	Empty	0	0	0
Range-Slot8	Empty	0	0	0
Hands	Dark Mail Gauntlets +5	3310	1	10
Hands-Slot2	Empty	0	0	0
Hands-Slot7	Empty	0	0	0
Hands-Slot8	Empty	0	0	0
Hands-Slot9	Empty	0	0	0
Hands-Slot10	Empty	0	0	0
Primary	Smoldering Brand +4	6692	1	10
Primary-Slot2	Empty	0	0	0
Primary-Slot7	Empty	0	0	0
Primary-Slot8	Empty	0	0	0
Primary-Slot9	Empty	0	0	0
Primary-Slot10	Smoldering Brand (Exaltation)	6692	1	10
Secondary	Crushbone Fetish +4	177865	1	10
Secondary-Slot1	Empty	0	0	0
Secondary-Slot7	Empty	0	0	0
Secondary-Slot8	Empty	0	0	0
Secondary-Slot9	Empty	0	0	0
Secondary-Slot10	Empty	0	0	0
Fingers	Hamed's Ring of Tears +3	16840	1	10
Fingers-Slot7	Empty	0	0	0
Fingers-Slot8	Empty	0	0	0
Fingers-Slot9	Empty	0	0	0
Fingers	Moonstone Ring +6	10150	1	10
Fingers-Slot7	Moonstone Ring (Exaltation)	10150	1	10
Fingers-Slot8	Empty	0	0	0
Fingers-Slot9	Empty	0	0	0
Fingers-Slot10	Empty	0	0	0
Chest	Shining Metallic Robes +5	1360	1	10
Chest-Slot2	Empty	0	0	0
